contexto,posicao,bt,tempo_ms_f1,f1_normalizado,adaptabilidade_f2,f2_normalizado,explicabilidade_f3,f3_normalizado,S,R,M,L,score
Tempo Real,1,BT Drone Crítico,0.8,1.0,0.125,0.0,0.2876190476190476,0.5538753668220265,0.2857142857142857,0.3333333333333333,0.2,0.3333333333333333,0.8107750733644052
Tempo Real,2,BT Missão Crítica,0.9,0.9629629629629629,0.4,0.31428571428571433,0.1906060606060606,0.18812987461356184,0.13333333333333333,0.1,0.5,0.09090909090909091,0.7431286204253579
Tempo Real,3,BT Robô Industrial,1.5,0.7407407407407407,0.5,0.42857142857142855,0.33388888888888896,0.7283157834167676,0.2222222222222222,0.2,0.75,0.25,0.7070388180590148
Tempo Real,4,BT Veículo Autônomo,1.3,0.8148148148148149,0.7,0.6571428571428571,0.2236111111111111,0.31256113700443056,0.16666666666666666,0.125,0.5555555555555556,0.1111111111111111,0.6985968834855423
Tempo Real,5,BT Sistema Médico,1.8,0.6296296296296295,0.625,0.5714285714285714,0.4,0.9775591230795789,0.25,0.25,0.875,0.3333333333333333,0.6933954224995136
Tempo Real,6,BT Híbrida B,1.8,0.6296296296296295,0.625,0.5714285714285714,0.2727272727272727,0.49773237292657274,0.18181818181818182,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5974300724689123
Tempo Real,7,BT Compacta,1.2,0.8518518518518517,0.125,0.0,0.1407051282051282,0.0,0.15384615384615385,0.125,0.16666666666666666,0.1111111111111111,0.5962962962962962
Tempo Real,8,BT Monitoramento IoT,2.0,0.5555555555555555,0.8,0.7714285714285715,0.2692857142857143,0.4847574659071293,0.2,0.14285714285714285,0.625,0.16666666666666666,0.5629832392131717
Tempo Real,9,BT Híbrida A,2.0,0.5555555555555555,0.5,0.42857142857142855,0.2688888888888889,0.4832614074457679,0.2222222222222222,0.2,0.5,0.2,0.5283983132351853
Tempo Real,10,BT Modular,2.5,0.37037037037037035,0.375,0.2857142857142857,0.40595238095238095,1.0,0.2857142857142857,0.25,0.8333333333333334,0.3333333333333333,0.48783068783068784
Tempo Real,11,BT NPC Jogo AAA,2.5,0.37037037037037035,0.4,0.31428571428571433,0.19825396825396827,0.21696300132343638,0.14285714285714285,0.1111111111111111,0.5,0.1,0.33408043095251794
Tempo Real,12,BT Configurável,3.5,0.0,1.0,1.0,0.31722222222222224,0.665481328039588,0.2222222222222222,0.2,0.6666666666666666,0.25,0.23309626560791763
Equipe Iniciante,1,BT Sistema Médico,1.8,0.6296296296296295,0.625,0.5714285714285714,0.45416666666666666,1.0,0.25,0.25,0.875,0.3333333333333333,0.8772486772486772
Equipe Iniciante,2,BT Modular,2.5,0.37037037037037035,0.375,0.2857142857142857,0.44880952380952377,0.9829213701829504,0.2857142857142857,0.25,0.8333333333333334,0.3333333333333333,0.7822248533079594
Equipe Iniciante,3,BT Robô Industrial,1.5,0.7407407407407407,0.5,0.42857142857142855,0.3794444444444444,0.7617847411444141,0.2222222222222222,0.2,0.75,0.25,0.6930376785894496
Equipe Iniciante,4,BT Configurável,3.5,0.0,1.0,1.0,0.3544444444444444,0.68208446866485,0.2222222222222222,0.2,0.6666666666666666,0.25,0.677459128065395
Equipe Iniciante,5,BT Híbrida B,1.8,0.6296296296296295,0.625,0.5714285714285714,0.3196969696969697,0.5713091404508298,0.18181818181818182,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5771650755642581
Equipe Iniciante,6,BT Monitoramento IoT,2.0,0.5555555555555555,0.8,0.7714285714285715,0.3036904761904762,0.5202802646944336,0.2,0.14285714285714285,0.625,0.16666666666666666,0.5740374551273734
Equipe Iniciante,7,BT Híbrida A,2.0,0.5555555555555555,0.5,0.42857142857142855,0.2944444444444445,0.49080381471389667,0.2222222222222222,0.2,0.5,0.2,0.4848325115695689
Equipe Iniciante,8,BT Veículo Autônomo,1.3,0.8148148148148149,0.7,0.6571428571428571,0.2597222222222222,0.380108991825613,0.16666666666666666,0.125,0.5555555555555556,0.1111111111111111,0.47898634718798194
Equipe Iniciante,9,BT Drone Crítico,0.8,1.0,0.125,0.0,0.2838095238095238,0.45689957181782787,0.2857142857142857,0.3333333333333333,0.2,0.3333333333333333,0.41982970027247946
Equipe Iniciante,10,BT Missão Crítica,0.9,0.9629629629629629,0.4,0.31428571428571433,0.22484848484848485,0.2689311369829081,0.13333333333333333,0.1,0.5,0.09090909090909091,0.3474052350414748
Equipe Iniciante,11,BT NPC Jogo AAA,2.5,0.37037037037037035,0.4,0.31428571428571433,0.2319047619047619,0.2914266251459712,0.14285714285714285,0.1111111111111111,0.5,0.1,0.3038928174963597
Equipe Iniciante,12,BT Compacta,1.2,0.8518518518518517,0.125,0.0,0.140491452991453,0.0,0.15384615384615385,0.125,0.16666666666666666,0.1111111111111111,0.08518518518518518
Ambiente Dinâmico,1,BT Configurável,3.5,0.0,1.0,1.0,0.40111111111111114,0.6893739230327399,0.2222222222222222,0.2,0.6666666666666666,0.25,0.837874784606548
Ambiente Dinâmico,2,BT Monitoramento IoT,2.0,0.5555555555555555,0.8,0.7714285714285715,0.3519047619047619,0.5571018298186591,0.2,0.14285714285714285,0.625,0.16666666666666666,0.7069759215192875
Ambiente Dinâmico,3,BT Sistema Médico,1.8,0.6296296296296295,0.625,0.5714285714285714,0.5166666666666667,1.0,0.25,0.25,0.875,0.3333333333333333,0.662962962962963
Ambiente Dinâmico,4,BT Veículo Autônomo,1.3,0.8148148148148149,0.7,0.6571428571428571,0.30277777777777776,0.4250430786904077,0.16666666666666666,0.125,0.5555555555555556,0.1111111111111111,0.6264900972195631
Ambiente Dinâmico,5,BT Híbrida B,1.8,0.6296296296296295,0.625,0.5714285714285714,0.3696969696969697,0.6049292465145423,0.18181818181818182,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5839488122658714
Ambiente Dinâmico,6,BT Robô Industrial,1.5,0.7407407407407407,0.5,0.42857142857142855,0.43444444444444447,0.778977599080988,0.2222222222222222,0.2,0.75,0.25,0.5298695938902717
Ambiente Dinâmico,7,BT Híbrida A,2.0,0.5555555555555555,0.5,0.42857142857142855,0.32444444444444454,0.4832854681217693,0.2222222222222222,0.2,0.5,0.2,0.4522126491799094
Ambiente Dinâmico,8,BT Modular,2.5,0.37037037037037035,0.375,0.2857142857142857,0.5071428571428572,0.9743989497005007,0.2857142857142857,0.25,0.8333333333333334,0.3333333333333333,0.4319168269771372
Ambiente Dinâmico,9,BT Missão Crítica,0.9,0.9629629629629629,0.4,0.31428571428571433,0.2648484848484849,0.3230849563991437,0.13333333333333333,0.1,0.5,0.09090909090909091,0.380913287576125
Ambiente Dinâmico,10,BT NPC Jogo AAA,2.5,0.37037037037037035,0.4,0.31428571428571433,0.2707936507936508,0.3390662181012554,0.14285714285714285,0.1111111111111111,0.5,0.1,0.32485028065728816
Ambiente Dinâmico,11,BT Drone Crítico,0.8,1.0,0.125,0.0,0.2704761904761905,0.33821284975793875,0.2857142857142857,0.3333333333333333,0.2,0.3333333333333333,0.16764256995158777
Ambiente Dinâmico,12,BT Compacta,1.2,0.8518518518518517,0.125,0.0,0.14465811965811967,0.0,0.15384615384615385,0.125,0.16666666666666666,0.1111111111111111,0.08518518518518518
